,ts,side,price,quantity
3573,1619199615191763,buy,1652.7012903225807,0.03402
3574,1619199615193250,buy,1652.7012903225807,0.03402
3575,1619199615199349,buy,1652.7012903225807,0.01674
3576,1619199615199416,buy,1652.7012903225807,0.01674
3577,1619199615201010,buy,1652.7012903225807,0.02268
3578,1619199615204319,buy,1652.7012903225807,0.03402
3579,1619199615212000,buy,1652.7012903225807,0.01674
3580,1619199615268599,buy,1652.7012903225807,0.01674
3581,1619199615274739,sell,1652.7009677419355,0.00054
3582,1619199615274760,sell,1652.7009677419355,0.36126
3583,1619199615294088,buy,1652.7012903225807,0.02268
3584,1619199615302432,buy,1652.7012903225807,0.01674
3585,1619199615303870,buy,1652.7012903225807,0.01674
3586,1619199615303880,buy,1652.7012903225807,0.01674
3587,1619199615308207,buy,1652.7012903225807,0.01674
3588,1619199615309820,buy,1652.7012903225807,0.01674
3589,1619199615322106,buy,1652.7012903225807,0.01674
3590,1619199615332164,buy,1652.7012903225807,0.01404
3591,1619199615348600,sell,1652.7009677419355,0.27
3592,1619199615378754,buy,1652.7012903225807,0.17064
3593,1619199615383244,buy,1652.7012903225807,0.05346
3594,1619199615501037,buy,1652.7012903225807,10.81728
3595,1619199615601092,sell,1652.7009677419355,0.108
3596,1619199615609383,sell,1652.7009677419355,0.1236599999999999
3597,1619199615609387,sell,1652.7009677419355,0.108
3598,1619199615672856,buy,1652.6232258064515,0.01296
3599,1619199615700627,sell,1652.6193548387096,0.27
3600,1619199615719910,sell,1652.6225806451614,0.54
3601,1619199615721155,sell,1652.6193548387096,0.00324
3602,1619199615777868,sell,1652.6193548387096,0.5896800000000001
3603,1619199615778132,sell,1652.6187096774197,0.41148
